id,name,description,price,stock,images,category,product_ID
fd660d95-aff3-49b7-881e-b26e08884e8e,All-Clad Premium Stainless Steel Cookware Set,"Elevate your cooking experience with our All-Clad Premium Stainless Steel Cookware Set, designed to provide exceptional performance, durability, and heat distribution. This high-quality cookware features a triple-layer construction for even heat distribution, ensuring that your dishes are cooked to perfection every time. The stainless steel construction is resistant to scratches and corrosion, making it a long-lasting addition to your kitchen. Whether you're a professional chef or a home cook, this cookware set is perfect for achieving perfect browning, searing, and cooking results. With its beautiful design and functionality, this cookware set is both aesthetically pleasing and incredibly functional, suitable for use on all types of cooktops.",499.99,43,,Kitchen & Dining,424
66b6416c-4318-404e-9c56-85a5badb2642,Tivoli Model Two Tabletop Radio System,"Experience high-quality sound in a compact, stylish package with the Tivoli Model Two Tabletop Radio System. This sleek and unobtrusive system boasts a top-notch tuner and rich, warm sound that fills an entire room. With its retro look and advanced features, it's perfect for those who want to upgrade their home audio without compromising on style. Add the Tivoli subwoofer for an even more immersive listening experience. Ideal for use in living rooms, offices, or anywhere you want to enjoy great sound in a small footprint.",249.0,42,,Home & Garden,712
8ba42a49-9968-4344-80df-13019c2ac3b3,Dyson DC07 Cyclonic Upright Vacuum Cleaner,"Experience superior cleaning performance and convenience with the Dyson DC07 Cyclonic Upright Vacuum Cleaner. This powerful and reliable vacuum features a unique cyclonic technology that captures 99.97% of microscopic dust, dirt, and allergens as small as 0.3 microns. With its lightweight and ergonomic design, handling and maneuverability are effortless, making it perfect for cleaning large spaces. The included floor tool allows for easy access to tight spaces and under furniture, while the cyclonic technology ensures a quieter and more efficient cleaning experience. Whether you're a homeowner, pet owner, or allergy sufferer, this vacuum cleaner is an unbeatable choice for maintaining a cleaner and healthier home.",399.0,43,,Home & Garden,796
86c92b36-0695-46d2-af5f-397bb78b6dbc,Dyson Animal Hair Vacuum Cleaner,"Experience unparalleled cleaning performance with the Dyson Animal Hair Vacuum Cleaner, designed for pet owners and those who demand the best. This powerful device picks up dirt, dust, and fine particles with ease, including fireplace ash and pet hair. Its sleek design and easy-to-use interface make it a joy to vacuum, allowing you to tackle tough messes with confidence. The vacuum's advanced technology and robust construction ensure years of reliable service. Whether you have a small or large space, this vacuum is the perfect choice for anyone seeking a deep clean. With its impressive performance and beautiful design, this product is well worth the investment.",799.0,57,,Home & Garden,797
1b925d13-6617-466c-944f-426305424c45,Premium Nursing Support Pillow,"The My Brest Friend Nursing Pillow is a highly-rated, must-have accessory for new mothers. Designed to provide optimal support and comfort during breastfeeding, this pillow is a game-changer for nursing moms. Its unique design allows for effortless feeding, reducing back and shoulder strain. Unlike other nursing pillows on the market, such as the Boppy, the My Brest Friend offers superior support and flexibility. With its versatility and practicality, this pillow is a thoughtful gift for friends and family members expecting a baby. Made with high-quality materials and crafted with love, the My Brest Friend Nursing Pillow is an investment in the comfort and well-being of new mothers.",49.99,27,,Home & Garden,1860
00720fe2-0b76-4f05-b53d-000e79c80f7c,Calphalon Professional-Grade Cookie Sheets,"Elevate your baking experience with our Calphalon Professional-Grade Cookie Sheets. These heavy-gauge, well-made pans are perfect for serious bakers who demand the best. With their sturdy construction and non-warping design, you can achieve perfect results every time. The raised Calphalon branding may be a minor concern for some, but the exceptional quality and durability of these sheets make them a worthwhile investment. Whether you're a seasoned pro or a home cook, these cookie sheets are sure to become a staple in your kitchen.",49.99,27,,Home & Kitchen,2525
8f860d1f-7f7b-49de-83c9-4d9562c02e80,Inflatable Item Air Pump with Deflate Feature,"Effortlessly inflate and deflate your pool floats, beach toys, and inflatables with our reliable air pump. Equipped with a deflate feature, this pump allows for quick air removal, making it easy to fold up and store your inflatables. With fast inflation and deflation speeds, you'll be enjoying your pool or beach time in no time. Perfect for pool owners, beachgoers, and outdoor enthusiasts, this pump is a must-have for anyone with inflatables.",29.99,42,,Home & Garden,2612
66739156-b5b6-4d29-a5d9-b76209bc1a8a,Miele Antares Vacuum Cleaner - Premium Cleaning Experience,"Experience the power of advanced cleaning technology with the Miele Antares Vacuum Cleaner. This premium cleaning solution boasts a lightweight design, exceptional suction power, and a compact profile that makes it easy to maneuver around your home. The vacuum is equipped with 3 extra attachments and features easy-to-replace bags and filters. Its closed system traps dust and allergens, preventing them from being released back into the air. With its quiet operation and impressive performance, the Miele Antares is perfect for homeowners seeking a reliable and efficient cleaning experience. Ideal for hardwood floors, area rugs, and other surfaces, this vacuum is a worthwhile investment for those demanding the best.",499.0,43,,Home & Garden,2764
b8f424a7-47c9-49a1-97e8-71c522f04b58,Nespresso D290 Capsule Espresso Machine,"Experience the perfect blend of convenience and flavor with our Nespresso D290 Capsule Espresso Machine. This sleek and sophisticated machine is designed to make brewing espresso easy and enjoyable. With a wide selection of coffees to choose from, you'll never get bored with the same old flavor. The capsules are super convenient, fast, clean, and neat, making them a great option for those who value ease and minimal cleanup. Plus, the machine heats up quickly and makes a perfect espresso every time. Whether you're a coffee connoisseur or a busy professional, our Nespresso D290 Capsule Espresso Machine is the perfect addition to your kitchen.",199.0,43,,Kitchen & Dining,2962
68f95f07-e78c-49e3-8329-c57ef64429ee,Wall-Mounted Atomic Clock with Clear Display,"Easily read from a distance, this wall-mounted atomic clock boasts a black face with white letters, ensuring precise timekeeping in any setting. With its compact size, it fits perfectly in kitchens, offices, or emergency operations centers. Featuring an atomic clock signal reception for accurate timekeeping, this clock is the perfect addition to any space. Made with durable construction suitable for daily use, it's easy to change the battery every year or so. Experience the convenience of a reliable wall clock with a stylish and modern design.",29.99,57,,Kitchen & Dining,3006
0c2d9da3-fa5c-41d1-a957-886d3455876b,Deluxe Laundry Bag for Bras and Delicates,"Protect your delicate items from damage and snagging with our high-quality laundry bags. Made with durable materials, these bags are perfect for washing bras, baby clothing, and accessories. With multiple uses and a compact design, they are a must-have for any household. Our laundry bags are easy to use and come in a pack of [random stock number] to keep your laundry day organized and efficient.",9.99,32,,Home & Kitchen,3675
f206c190-28e1-40a3-9e94-bc5a7db04479,WarmthMax Gear-Up Parka,"Stay warm and organized with the WarmthMax Gear-Up Parka. Made from high-quality material, this parka keeps you cozy after workouts or in chilly weather. It features multiple roomy pockets for storing gear, a well-protected inner pocket for valuables, and a decent windproof design. The parka also includes a hood, although it's a bit small, perfect for those with short hair. With its excellent material quality and numerous pockets, this parka is ideal for fitness enthusiasts and anyone looking for a reliable, affordable outerwear option.",49.99,27,,Sports & Outdoors,4404
94ca968f-42b5-4182-b411-8b4561d4541b,Bialetti Espresso Gasket and Filter Set Replacement,"Get back to brewing perfect espresso with our Bialetti espresso gasket and filter set replacement. Compatible with various Bialetti stovetop espresso makers, including Moka Express and Venus models, these rubber gaskets ensure a tight seal for optimal coffee flavor. Made with high-quality materials, our gaskets are designed to withstand the heat and pressure of your espresso maker. Order now and enjoy good coffee again!",8.99,23,,Kitchen & Dining,4754
ecc6f8f9-b283-4d03-9788-d0f68aeb397d,Mindful Moments Aromatic Candle,"Escape into serenity with our premium Mindful Moments Aromatic Candle. Infused with a sweet, refreshing fragrance, this candle is perfect for meditation, relaxation, and creating a peaceful atmosphere. Its even burn and high-quality construction ensure a long-lasting, enjoyable experience. Whether you're looking to unwind after a long day or create a calming ambiance for a special occasion, our candle is the perfect choice. With its slender design and attractive appearance, it's a beautiful addition to any room.",24.99,67,,Home & Garden,5616
95a917be-6572-4ed0-b540-d2491f1c5289,Soothing Sage and Citrus Yankee Candle,"Indulge in the tranquil combination of soothing sage and refreshing citrus with our high-quality Yankee Candle. This unisex fragrance is not overpowering yet rich in scent, making it perfect for relaxation and everyday use. With its durable construction and long-lasting burn time, this candle is a great addition to any home. The balanced blend of soft, powdery sage and citrus notes will transport you to a peaceful state of mind. As a trusted brand, Yankee Candle is known for its excellent quality and value. This candle is a great choice for those looking for a calming and invigorating scent to enhance their home ambiance.",25.99,54,,Home & Garden,6158
6039a288-782a-4cfb-95b1-3b883c6508b7,DreamSleep Luxe Memory Foam Mattress,"Upgrade your sleeping experience with the DreamSleep Luxe Memory Foam Mattress, designed to provide unparalleled comfort and support. Constructed with a unique combination of advanced memory foam and a plush pillow top, this mattress ensures a restful night's sleep for years to come. As one customer noted, 'this sleeps like a 5-star luxury mattress' without breaking the bank. With its impressive ability to outperform more expensive brands, such as Tempurpedic, this mattress is a game-changer for anyone seeking a high-quality sleeping solution. Simply air it out for a few days to rid of the initial packaging smell, and get ready to experience the ultimate in sleeping comfort.",599.0,43,,Home & Garden,7001
71fd31eb-6499-469c-8c77-c06bb74a8920,Warmth & Performance Swim Parka,"Experience optimal warmth and protection with our high-quality swim parka, engineered for comfort and performance. Perfect for swimmers, water polo players, and individuals who spend extended periods outdoors. This well-made parka features a heavy-duty design, providing exceptional warmth and durability. Its versatility makes it suitable for both adults and youth, with a range of sizes available to accommodate different body types. The XXS and XS sizes provide a comfortable fit, with the XS being ideal for younger swimmers. With its long-lasting construction, this parka is a great investment for swimmers who require a reliable and high-performance garment.",49.99,43,,Sports & Outdoors,7191
bd3f891a-12d3-481e-a20e-980b93f8e320,ExcelSteel 13-Inch Lightweight Cast Iron Wok,"Upgrade your cooking experience with the ExcelSteel 13-Inch Lightweight Cast Iron Wok. This exceptional cooking vessel boasts a super lightweight design, making it easy to handle and maneuver. The flat bottom ensures safe and stable cooking, while the cast iron construction provides durability and even heat distribution. With proper seasoning, the wok works exceptionally well and is easy to clean. Perfect for stir-frying, sautéing, and cooking a variety of dishes, this wok is a must-have for any cooking enthusiast. Its heat-resistant handle and quick heating capabilities make cooking a breeze. Whether you're a beginner or an experienced chef, this wok is sure to become your go-to cooking companion.",24.99,42,,Kitchen & Dining,7477
fe67ac4f-9762-4591-9f06-dc4a7fac984d,Strawberry and Tomato Huller,"Elevate your kitchen experience with our Strawberry and Tomato Huller. This handy utensil is designed to efficiently remove stems and cores from strawberries and tomatoes, preserving the maximum amount of fruit and minimizing waste. The soft metal construction ensures a smooth and gentle removal process, making it ideal for ripe fruits. Its sharp and easy-to-hold design allows for effortless handling, making it a must-have for home cooks and professional chefs alike. Perfect for gardening enthusiasts, market-goers, and anyone looking for a convenient way to prepare fresh produce.",12.99,57,,Kitchen & Dining,8960
